episode,total_steps,reward,rolling_reward_100,epsilon,loss
480,23804,2.0,1.78,0.857464,nan
481,23836,0.0,1.74,0.8571759999999999,nan
482,23877,1.0,1.75,0.856984,nan
483,23929,2.0,1.76,0.856738,nan
484,23977,2.0,1.77,0.856426,nan
485,24028,2.0,1.76,0.8561380000000001,nan
486,24068,1.0,1.77,0.855832,nan
487,24151,5.0,1.81,0.855592,nan
488,24203,2.0,1.83,0.855094,nan
489,24244,1.0,1.84,0.8547819999999999,nan
490,24298,2.0,1.81,0.854536,nan
491,24337,1.0,1.8,0.854212,nan
492,24404,4.0,1.82,0.853978,nan
493,24462,2.0,1.83,0.853576,nan
494,24507,1.0,1.84,0.853228,nan
495,24562,3.0,1.87,0.852958,nan
496,24621,3.0,1.87,0.8526279999999999,nan
497,24668,2.0,1.85,0.852274,nan
498,24727,3.0,1.87,0.851992,nan
499,24793,4.0,1.9,0.851638,nan
500,24837,1.0,1.9,0.851242,nan
501,24889,2.0,1.89,0.850978,nan
502,24922,0.0,1.89,0.850666,nan
503,24966,1.0,1.89,0.850468,nan
504,25012,1.0,1.89,0.850204,nan
505,25047,0.0,1.87,0.849928,nan
506,25093,1.0,1.85,0.849718,nan
507,25126,0.0,1.83,0.849442,nan
508,25189,3.0,1.86,0.849244,nan
509,25222,0.0,1.83,0.848866,nan
510,25285,3.0,1.83,0.848668,nan
511,25341,3.0,1.83,0.84829,nan
512,25400,3.0,1.86,0.847954,nan
513,25447,2.0,1.84,0.8476,nan
514,25480,0.0,1.82,0.847318,nan
515,25521,1.0,1.82,0.84712,nan
516,25572,2.0,1.82,0.846874,nan
517,25635,3.0,1.84,0.846568,nan
518,25711,5.0,1.88,0.84619,nan
519,25745,0.0,1.86,0.845734,nan
520,25804,3.0,1.85,0.84553,nan
521,25855,2.0,1.85,0.8451759999999999,nan
522,25888,0.0,1.8,0.84487,nan
523,25919,0.0,1.78,0.844672,nan
524,25953,0.0,1.75,0.844486,nan
525,26025,4.0,1.75,0.844282,nan
526,26057,0.0,1.73,0.84385,nan
527,26116,3.0,1.75,0.843658,nan
528,26149,0.0,1.75,0.843304,nan
529,26190,1.0,1.72,0.843106,nan
530,26237,1.0,1.7,0.8428599999999999,nan
531,26285,2.0,1.66,0.842578,nan
532,26318,0.0,1.64,0.84229,nan
533,26371,2.0,1.66,0.8420920000000001,nan
534,26404,0.0,1.65,0.841774,nan
535,26449,1.0,1.63,0.841576,nan
536,26490,1.0,1.62,0.841306,nan
537,26524,0.0,1.62,0.84106,nan
538,26565,1.0,1.63,0.840856,nan
539,26624,3.0,1.62,0.84061,nan
540,26665,1.0,1.62,0.840256,nan
541,26698,0.0,1.62,0.84001,nan
542,26758,3.0,1.61,0.839812,nan
543,26802,1.0,1.59,0.839452,nan
544,26868,4.0,1.62,0.839188,nan
545,26943,4.0,1.66,0.838792,nan
546,26983,1.0,1.67,0.838342,nan
547,27034,2.0,1.68,0.838102,nan
548,27085,2.0,1.69,0.837796,nan
549,27137,2.0,1.7,0.83749,nan
550,27208,4.0,1.73,0.837178,nan
551,27253,1.0,1.72,0.8367519999999999,nan
552,27285,0.0,1.71,0.836482,nan
553,27339,3.0,1.71,0.83629,nan
554,27390,2.0,1.72,0.835966,nan
555,27443,2.0,1.74,0.83566,nan
556,27494,2.0,1.74,0.835342,nan
557,27529,0.0,1.74,0.835036,nan
558,27604,4.0,1.77,0.834826,nan
559,27646,1.0,1.78,0.834376,nan
560,27713,3.0,1.78,0.834124,nan
561,27758,1.0,1.76,0.833722,nan
562,27821,7.0,1.8,0.833452,nan
563,27874,2.0,1.81,0.833074,nan
564,27915,1.0,1.81,0.832756,nan
565,27999,5.0,1.84,0.83251,nan
566,28050,2.0,1.82,0.832006,nan
567,28084,0.0,1.8,0.8317,nan
568,28125,1.0,1.78,0.831496,nan
569,28190,3.0,1.81,0.83125,nan
570,28224,0.0,1.78,0.8308599999999999,nan
571,28276,2.0,1.77,0.8306560000000001,nan
572,28316,1.0,1.77,0.830344,nan
573,28357,1.0,1.78,0.830104,nan
574,28408,2.0,1.8,0.829858,nan
575,28443,0.0,1.77,0.829552,nan
